shipment_id,carrier,origin,destination,shipped,promised,delivered,weight_kg,cost_usd,status
SHP-00001,BLZ,DFW,chicago,2024-07-20,22/07/2024,2024-07-22,81.9,1701.78,DELIVERED
SHP-00002,COY,LAX, JFK,12/09/2024,Sep 17 2024,20240917,134.1,515.28,delivered
SHP-00003,NPT, JFK,  LAX ,Sep 11 2024,20240916,20240920,328.6,1031.29,DELIVERED
SHP-00004,ORN,Chicago IL,"Dallas, TX",Sep 16 2024,18/09/2024,20240918,382.4,3849.98,DELIVERED
SHP-00005,NPT,ORD,JFK,Jul 09 2024,20240712,-,646.4,3553.81,in transit
SHP-00006,BLZ,"Atlanta, GA",SEATTLE,20240820,Aug 26 2024,25/08/2024,738.3,3462.74,delivered
SHP-00007,NPT,"Seattle, WA",atlanta,Jul 30 2024,2024-08-05,05/08/2024,380.0,1508.55,Delivered
SHP-00008,NPT,Chicago IL,NYC,2024-09-26,20240929,20240928,60.7,316.02,DELIVERED
SHP-00009,ORN,Dallas,"Chicago, IL",Sep 17 2024,Sep 19 2024,Sep 23 2024,429.4,505.65,delivered
SHP-00010,ORN,ORD,"Dallas, TX",Aug 31 2024,02/09/2024,2024-09-02,683.5,1227.45,Delivered
SHP-00011,COY,Dallas,"Chicago, IL",20/09/2024,20240922,Sep 22 2024,659.2,3958.93,delivered
SHP-00012,COY,Dallas,"Chicago, IL",Aug 16 2024,18/08/2024,20240820,563.5,3606.22,DELIVERED
SHP-00013,MRD,ATL,SEATTLE,20240831,20240906,n/a,653.7,721.51,in transit
SHP-00014,BLZ,DFW,ORD,20/07/2024,20240722,22/07/2024,744.4,883.62,delivered
SHP-00015,ORN,Los Angeles,NYC,15/08/2024,20/08/2024,NULL,786.2,3117.20,IN_TRANSIT
SHP-00016,COY,"Chicago, IL",new york,2024-07-14,2024-07-17,20240717,507.7,3051.97,DELIVERED
SHP-00017,ORN,chicago, JFK,03/09/2024,20240906,04/09/2024,377.9,1599.84,delivered
SHP-00018,COY,seattle,"Atlanta, GA",20240930,06/10/2024,2024-10-05,361.4,1974.68,Delivered
SHP-00019,MRD,Dallas,Chicago IL,2024-07-12,20240714,Jul 14 2024,468.1,1217.04,DELIVERED
SHP-00020,MRD,SEATTLE,"Atlanta, GA",20240804,Aug 10 2024,2024-08-09,254.8,3208.37,DELIVERED
SHP-00021,NPT,ATL,seattle,20240709,Jul 15 2024,17/07/2024,43.7,2852.67,DELIVERED
SHP-00022,COY,atlanta,seattle,2024-08-07,Aug 13 2024,2024-08-11,18.7,2945.67,Delivered
SHP-00023,ORN,chicago,"New York, NY",08/09/2024,Sep 11 2024,10/09/2024,-127.0,2841.57,Delivered
SHP-00024,ORN,los angeles,"Seattle, WA",Jul 21 2024,2024-07-23,20240730,170.9,1112.69,DELIVERED
SHP-00025,MRD,Chicago IL,DFW,20240728,Jul 30 2024,30/07/2024,227.1,3116.14,DELIVERED
SHP-00026,COY,Atlanta,seattle,20240711,17/07/2024,Jul 15 2024,653.1,2590.72,DELIVERED
SHP-00027,COY,LAX,JFK,2024-09-26,01/10/2024,2024-09-25,863.8,1537.64,delivered
SHP-00028,MRD,"New York, NY","Los Angeles, CA",30/08/2024,20240904,20240904,NULL,353.12,Delivered
SHP-00029,NPT,ORD,Dallas,Sep 18 2024,2024-09-20,20/09/2024,609.8,1198.88,Delivered
SHP-00030,BLZ, JFK,  LAX ,Aug 30 2024,20240904,12/09/2024,825.3,3725.62,DELIVERED
SHP-00031,NPT,Chicago IL,Dallas,2024-07-15,17/07/2024,20240712,855.2,2742.27,delivered
SHP-00032,MRD,new york,los angeles,2024-07-26,20240731,20240729,898.9,2377.25,delivered
