id,from_loc,to_loc,carrier_code,ship_date,promise_date,delivery_date,weight,cost,status
SHP-00241,Chicago IL,DFW,NPT,20241015,20241017,Oct 20 2024,521.4,1454.94,Delivered
SHP-00242,"Los Angeles, CA","Seattle, WA",ORN,17/11/2024,Nov 19 2024,Nov 13 2024,585.6,695.46,DELIVERED
SHP-00243,"Los Angeles, CA",JFK,BLZ,09/10/2024,14/10/2024,,242.3,2858.84,IN_TRANSIT
SHP-00244,dallas,ORD,MRD,2024-11-07,Nov 09 2024,08/11/2024,242.7,300.44,DELIVERED
SHP-00245,"Atlanta, GA",SEATTLE,BLZ,20241217,Dec 23 2024,2024-12-21,210.3,3198.75,delivered
SHP-00246,Atlanta,"Seattle, WA",ORN,2024-12-19,25/12/2024,02/01/2025,101.6,2554.14,DELIVERED
SHP-00247,Los Angeles,"New York, NY",NPT,29/10/2024,03/11/2024,Nov 03 2024,895.8,3599.34,DELIVERED
SHP-00248,ORD,dallas,MRD,2024-11-20,Nov 22 2024,2024-11-20,295.9,983.56,DELIVERED
SHP-00249,DFW,ORD,MRD,2024-12-27,20241229,20241227,437.8,1047.78,Delivered
SHP-00250,ORD,new york,NPT,10/11/2024,2024-11-13,13/11/2024,61.6,2752.03,DELIVERED
SHP-00251,los angeles,"Seattle, WA",BLZ,2024-12-29,2024-12-31,Jan 01 2025,151.8,2150.83,delivered
SHP-00252,atlanta,SEATTLE,BLZ,20241128,04/12/2024,04/12/2024,545.6,1190.39,delivered
SHP-00253,"Dallas, TX",chicago,N/A,Nov 01 2024,03/11/2024,Nov 12 2024,615.9,2655.62,DELIVERED
SHP-00254,dallas,chicago,MRD,Oct 30 2024,20241101,20241031,259.1,3773.89,DELIVERED
SHP-00255,Los Angeles,new york,MRD,20241022,20241027,Oct 26 2024,124.6,2179.54,delivered
SHP-00256,  LAX ,"New York, NY",NPT,Dec 10 2024,Dec 15 2024,14/12/2024,N/A,517.47,DELIVERED
SHP-00257,chicago, JFK,NPT,20241221,Dec 24 2024,Dec 23 2024,661.7,1280.52,delivered
SHP-00258,"Los Angeles, CA","Seattle, WA",COY,Oct 02 2024,Oct 04 2024,2024-10-02,591.0,2295.06,delivered
SHP-00259,DFW,"Chicago, IL",ORN,Oct 13 2024,20241015,13/10/2024,345.6,2853.93,delivered
SHP-00260,Los Angeles,"New York, NY",NPT,25/12/2024,2024-12-30,2024-12-28,n/a,1478.76,DELIVERED
SHP-00261,Chicago IL,JFK,N/A,20241020,23/10/2024,Oct 23 2024,545.7,973.43,DELIVERED
SHP-00262,"Atlanta, GA","Seattle, WA",COY,08/12/2024,2024-12-14,20241223,-174.5,2856.77,delivered
SHP-00263,Los Angeles,seattle,COY,20241019,21/10/2024,21/10/2024,208.8,3483.65,delivered
SHP-00264,Dallas,Chicago IL,NPT,20241016,20241018,Oct 18 2024,426.9,831.92,Delivered
SHP-00265,NYC,"Los Angeles, CA",MRD,20241115,2024-11-20,2024-11-19,765.3,2927.42,delivered
SHP-00266,los angeles, JFK,NPT,27/12/2024,Jan 01 2025,07/01/2025,496.7,1639.97,DELIVERED
SHP-00267,chicago, JFK,BLZ,Dec 03 2024,20241206,2024-12-04,302.7,-,Delivered
SHP-00268,"Los Angeles, CA",NYC,NPT,2024-11-05,2024-11-10,09/11/2024,192.7,2960.05,DELIVERED
SHP-00269,NYC,"Los Angeles, CA",COY,2024-10-19,20241024,20241024,382.9,2536.79,Delivered
SHP-00270,LAX,NYC,COY,11/11/2024,2024-11-16,14/11/2024,181.7,1463.78,DELIVERED
SHP-00271,"Los Angeles, CA","New York, NY",-,Dec 26 2024,2024-12-31,20241231,479.5,2738.79,DELIVERED
